player_id,player_display_name,recent_team,season,week,opponent_team,is_home,is_division_rival,total_line,team_spread,team_implied_total,rolling_4wk_avg_rb_fantasy_points_allowed,rolling_4wk_avg_rb_rushing_yards_allowed,rolling_4wk_avg_rb_receiving_yards_allowed,rolling_4wk_avg_rb_receptions_allowed,snap_percentage,carries,targets,total_touches,target_share,red_zone_touches,goal_line_touches,rushing_yards,rushing_tds,rushing_epa,receptions,receiving_yards,receiving_tds,receiving_epa,yards_per_touch,fantasy_points,fantasy_points_ppr,dk_fantasy_points,fd_fantasy_points,dk_showdown_captain_points
00-0036265,A.J. Dillon,GB,2021,6,CHI,0,0,0.0,0.0,0.0,16.574999816715717,96.0,39.75,4.75,0.0,11,0,11,,1.0,0.0,59.0,0,-0.794376015663147,0,0.0,0,,5.363636363636363,5.900000095367432,5.900000095367432,5.9,5.9,8.850000000000001
00-0036265,A.J. Dillon,GB,2021,7,WAS,1,0,48.0,8.5,19.75,26.350000381469727,76.5,52.0,5.0,0.0,3,2,5,0.05882352963089943,0.0,0.0,6.0,0,-5.589897155761719,1,2.0,0,-1.9206268787384033,1.6,-1.2000000476837158,-0.20000000298023224,0.8,-0.7,1.2000000000000002
00-0036265,A.J. Dillon,GB,2021,8,ARI,0,0,0.0,0.0,0.0,9.10000005364418,65.0,31.0,5.25,0.0,16,0,16,,4.0,0.0,78.0,0,2.6694793701171875,0,0.0,0,,4.875,7.800000190734863,7.800000190734863,7.800000000000001,7.800000000000001,11.700000000000001
00-0036265,A.J. Dillon,GB,2021,9,KC,0,0,0.0,0.0,0.0,14.12499986588955,77.25,58.5,6.5,0.0,8,4,12,0.125,0.0,0.0,46.0,0,0.3420960605144501,4,44.0,0,3.0090019702911377,7.5,9.0,13.0,13.0,11.0,19.5
00-0036265,A.J. Dillon,GB,2021,10,SEA,1,0,49.5,3.0,23.25,20.999999966472387,82.0,68.0,6.75,0.0,21,2,23,0.05714285746216774,10.0,4.0,66.0,2,3.6362743377685547,2,62.0,0,4.986004829406738,5.565217391304348,24.799999237060547,26.799999237060547,26.8,25.8,40.2
00-0036265,A.J. Dillon,GB,2021,11,MIN,0,0,0.0,0.0,0.0,16.85000006854534,81.75,11.75,2.75,0.0,11,6,17,0.19354838132858276,0.0,0.0,53.0,0,0.2094920426607132,6,44.0,0,1.7296003103256226,5.705882352941177,9.699999809265137,15.699999809265137,15.700000000000001,12.700000000000001,23.55
00-0036265,A.J. Dillon,GB,2021,12,LA,1,0,47.0,-2.0,24.5,16.725000113248825,85.5,36.75,4.5,0.0,20,5,25,0.11363636702299118,6.0,2.0,69.0,0,-0.4006788432598114,5,21.0,1,0.9409950375556946,3.6,15.0,20.0,20.0,17.5,30.0
00-0036265,A.J. Dillon,GB,2021,14,CHI,1,1,43.0,11.5,15.75,15.150000173598528,75.25,31.25,5.75,0.0,15,0,15,,5.0,2.0,71.0,0,1.2075825929641724,0,0.0,0,,4.733333333333333,7.099999904632568,7.099999904632568,7.1000000000000005,7.1000000000000005,10.65
00-0036265,A.J. Dillon,GB,2021,15,BAL,0,0,0.0,0.0,0.0,8.949999928474426,66.0,23.5,3.5,0.0,7,1,8,0.032258063554763794,3.0,2.0,22.0,1,0.3123234510421753,1,13.0,0,1.389911413192749,4.375,9.5,10.5,10.5,10.0,15.75
00-0036265,A.J. Dillon,GB,2021,16,CLE,1,0,46.5,7.5,19.5,13.774999903514981,91.25,16.5,3.5,0.0,9,3,12,0.0882352963089943,4.0,0.0,41.0,0,0.7506281733512878,3,15.0,0,-0.07569926232099533,4.666666666666667,5.599999904632568,8.600000381469727,8.600000000000001,7.1000000000000005,12.900000000000002
00-0036265,A.J. Dillon,GB,2021,17,MIN,1,1,42.0,13.0,14.5,16.224999951198697,99.0,23.25,3.5,0.0,14,3,17,0.0714285746216774,4.0,1.0,63.0,2,2.593036413192749,2,20.0,0,0.9675637483596802,4.882352941176471,20.299999237060547,22.299999237060547,22.3,21.3,33.45
00-0036265,A.J. Dillon,GB,2021,18,DET,0,0,0.0,0.0,0.0,25.325000012293458,130.5,17.75,2.0,0.0,14,1,15,0.02857142873108387,2.0,0.0,63.0,0,0.8256552219390869,1,4.0,0,-0.1379573494195938,4.466666666666667,6.699999809265137,7.699999809265137,7.700000000000001,7.200000000000001,11.55
00-0036265,A.J. Dillon,GB,2021,20,SF,1,0,47.0,5.5,20.75,9.149999886751175,59.5,17.0,4.5,0.0,7,0,7,,0.0,0.0,25.0,1,0.502951979637146,0,0.0,0,,3.5714285714285716,8.5,8.5,8.5,8.5,12.75
00-0036265,A.J. Dillon,GB,2022,1,MIN,0,0,0.0,0.0,0.0,20.45000005327165,111.75,37.75,5.25,0.0,10,6,16,0.17142857611179352,3.0,2.0,45.0,1,-2.932372808456421,5,46.0,0,2.0318334102630615,5.6875,15.100000381469727,20.100000381469727,20.1,17.6,30.150000000000002
00-0036265,A.J. Dillon,GB,2022,2,CHI,1,1,42.0,10.5,15.75,13.974999822676182,115.5,9.25,2.5,0.0,18,3,21,0.11999999731779099,3.0,0.0,61.0,0,-0.3603748679161072,1,6.0,0,-0.9494843482971191,3.1904761904761907,6.699999809265137,7.699999809265137,7.700000000000001,7.200000000000001,11.55
00-0036265,A.J. Dillon,GB,2022,3,TB,0,0,0.0,0.0,0.0,10.57499997317791,63.0,27.75,5.5,0.0,12,3,15,0.0882352963089943,2.0,0.0,32.0,0,-3.052398681640625,2,6.0,0,-2.57844877243042,2.533333333333333,3.799999952316284,5.800000190734863,5.800000000000001,4.800000000000001,8.700000000000001
00-0036265,A.J. Dillon,GB,2022,4,NE,1,0,40.5,10.0,15.25,12.874999821186066,67.25,31.5,4.0,0.0,17,2,19,0.0625,2.0,0.0,73.0,0,-1.4798808097839355,1,11.0,0,0.03589694947004318,4.421052631578948,8.399999618530273,9.399999618530273,9.4,8.9,14.100000000000001
00-0036265,A.J. Dillon,GB,2022,5,NYG,1,0,42.0,8.5,16.75,19.424999982118607,119.0,30.25,2.75,0.0,6,0,6,,0.0,0.0,34.0,0,1.2285466194152832,0,0.0,0,,5.666666666666667,3.4000000953674316,3.4000000953674316,3.4000000000000004,3.4000000000000004,5.1000000000000005
00-0036265,A.J. Dillon,GB,2022,6,NYJ,1,0,44.5,7.5,18.5,21.025000132620335,106.75,28.5,4.25,0.0,10,6,16,0.13636364042758942,0.0,0.0,41.0,0,-2.0155673027038574,4,11.0,0,-3.946873426437378,3.25,5.199999809265137,9.199999809265137,9.200000000000001,7.200000000000001,13.8
00-0036265,A.J. Dillon,GB,2022,7,WAS,0,0,0.0,0.0,0.0,15.700000390410423,87.5,24.5,2.75,0.0,4,0,4,,0.0,0.0,15.0,0,-0.9045710563659668,0,0.0,0,,3.75,1.5,1.5,1.5,1.5,2.25
00-0036265,A.J. Dillon,GB,2022,8,BUF,0,0,0.0,0.0,0.0,14.44999971985817,51.25,33.25,4.75,0.0,10,1,11,0.03448275849223137,1.0,0.0,54.0,0,1.3711320161819458,1,9.0,0,0.8602277040481567,5.7272727272727275,6.300000190734863,7.300000190734863,7.300000000000001,6.800000000000001,10.950000000000001
00-0036265,A.J. Dillon,GB,2022,9,DET,0,0,0.0,0.0,0.0,21.42500026896596,143.0,11.25,2.0,0.0,11,4,15,0.10000000149011612,2.0,2.0,34.0,0,-0.844202995300293,2,10.0,0,-2.943540334701538,2.933333333333333,4.400000095367432,6.400000095367432,6.4,5.4,9.600000000000001
00-0036265,A.J. Dillon,GB,2022,10,DAL,1,0,44.5,-3.5,24.0,13.499999899417162,96.25,18.75,3.0,0.0,13,0,13,,1.0,0.0,65.0,0,0.24040918052196503,0,0.0,0,,5.0,6.5,6.5,6.5,6.5,9.75
00-0036265,A.J. Dillon,GB,2022,11,TEN,1,0,40.5,3.0,18.75,11.050000105053186,42.25,53.25,8.25,0.0,6,1,7,0.027027027681469917,0.0,0.0,13.0,0,-1.1008609533309937,1,10.0,0,0.9205734729766846,3.2857142857142856,2.299999952316284,3.299999952316284,3.3,2.8,4.949999999999999
00-0036265,A.J. Dillon,GB,2022,12,PHI,0,0,0.0,0.0,0.0,17.589999958872795,114.5,21.0,5.0,0.0,8,4,12,0.1599999964237213,2.0,0.0,64.0,1,5.719226837158203,3,24.0,0,0.5913214087486267,7.333333333333333,14.800000190734863,17.799999237060547,17.8,16.3,26.700000000000003
00-0036265,A.J. Dillon,GB,2022,13,CHI,0,0,0.0,0.0,0.0,22.074999898672104,104.75,31.0,4.0,0.0,18,3,21,0.10000000149011612,0.0,0.0,93.0,1,3.765380859375,3,26.0,0,1.8735432624816895,5.666666666666667,17.899999618530273,20.899999618530273,20.900000000000002,19.400000000000002,31.35
00-0036265,A.J. Dillon,GB,2022,15,LA,1,0,39.5,8.0,15.75,15.1749999076128,78.5,43.25,4.0,0.0,11,3,14,0.1071428582072258,5.0,2.0,36.0,2,3.3453686237335205,3,35.0,0,2.2724928855895996,5.071428571428571,19.100000381469727,22.100000381469727,22.1,20.6,33.150000000000006
00-0036265,A.J. Dillon,GB,2022,16,MIA,0,0,0.0,0.0,0.0,19.899999886751175,72.25,51.75,7.0,0.0,11,3,14,0.07894736528396606,5.0,1.0,36.0,1,-2.215205430984497,2,12.0,0,-0.5105301141738892,3.4285714285714284,10.800000190734863,12.800000190734863,12.8,11.8,19.200000000000003
00-0036265,A.J. Dillon,GB,2022,17,MIN,1,1,47.5,3.0,22.25,18.175000136718154,102.0,39.75,6.25,0.0,12,1,13,0.03846153989434242,4.0,2.0,41.0,1,-0.6599940657615662,0,0.0,0,-0.5454601049423218,3.1538461538461537,10.100000381469727,10.100000381469727,10.100000000000001,10.100000000000001,15.150000000000002
00-0036265,A.J. Dillon,GB,2022,18,DET,1,1,49.0,5.5,21.75,15.52499989233911,102.0,13.25,1.25,0.0,9,3,12,0.11538461595773697,2.0,2.0,33.0,0,2.1750328540802,0,0.0,0,-2.9417130947113037,2.75,3.299999952316284,3.299999952316284,3.3000000000000003,3.3000000000000003,4.95
