gvkey,conm,cusip,fyear,naicsh,sich,emp,at,revt,oibdp,ni,xrd,xsga,xlr,lt,ceq,capx,che,prcc_f,csho,mktcap,mktcap_rank,r2000_proxy,naicsh_str,tech,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,total_petitions,total_approvals,total_denials,approval_rate,h1b_employer,h1b_user_pre,h1b_user,post_baha,h1b_user_x_post,operating_margin,roa,rd_intensity,log_emp,log_revt,h1b_intensity
3639,CUBIC CORP,229669106,2010,334511,3812.0,7.7,856.089,1194.189,119.994,70.636,18.976,139.824,,368.33,488.322,6.878,379.515,40.8,26.737,1090.8695999999998,2273.0,1,334511,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0.10048158206113102,0.08251011285041625,0.01589028202403472,2.0412203288596382,7.085222572883063,0.0
3707,DST SYSTEMS INC,233326107,2010,518210,7374.0,11.2,3339.4,2255.1,438.7,318.5,,,,2493.8,824.4,92.9,546.4,44.35,46.3,2053.405,1620.0,1,518210,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0.19453682763513813,0.0953764149248368,,2.4159137783010487,7.720949596851533,0.0
3946,DIEBOLD NIXDORF INC,253651202,2010,334119,3578.0,16.124,2519.79,2823.793,262.727,-20.252,74.225,527.281,,1529.976,961.155,51.298,601.781,32.05,65.717,2106.22985,1591.0,1,334119,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0.09304046011871266,-0.00803717770131638,0.026285566966133846,2.780308845254919,7.945836295643249,0.0
3969,DIODES INC,254543101,2010,334413,3674.0,3.986,846.55,612.886,156.872,76.733,26.584,115.368,,293.658,541.444,88.809,270.901,26.99,44.663,1205.45437,2157.0,1,334413,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0.2559562463492395,0.09064201760085053,0.043375113805830125,1.3827882217906031,6.418178948005313,0.0
3971,DIONEX CORP,254546104,2010,334513,3823.0,1.55,361.988,419.607,100.572,59.056,31.586,191.298,,111.113,248.783,13.019,70.278,74.46,17.437,1298.35902,2075.0,1,334513,1,DIONEX CORPORATION,1.0,0.0,3.0,0.0,4.0,4.0,0.0,1.0,DIONEX CORPORATION,1,1,0,0,0.23968141618228483,0.1631435296197664,0.07527519798287444,0.4382549309311553,6.039318558937804,0.0025806451612903226
4145,REVVITY INC,714046109,2010,334516,3826.0,6.2,3209.373,1704.346,261.127,383.919,95.409,586.667,,1283.555,1925.818,33.646,420.086,25.82,115.715,2987.7613,1273.0,1,334516,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0.15321243456434316,0.11962430044747058,0.05597983038655297,1.824549292051046,7.440936738420259,0.0
4340,EMULEX CORP,292475209,2010,334119,3576.0,0.791,689.45,399.15,63.051,23.62,126.85,223.458,,98.268,591.182,11.637,294.803,9.18,80.667,740.52306,2731.0,1,334119,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0.1579631717399474,0.03425919210965262,0.3178003256920957,-0.23445731121448313,5.989337286091808,0.0
4460,ESTERLINE TECHNOLOGIES CORP,297425100,2010,334513,3823.0,8.976,2587.738,1526.601,258.373,141.92,69.753,328.043,,1172.239,1412.796,45.54,422.12,60.44,30.28,1830.1232,1734.0,1,334513,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0.16924723618024617,0.05484326465816864,0.045691703333090965,2.1945543487803407,7.330798974414594,0.0
4988,TEGNA INC,87901J105,2010,511110,2711.0,32.6,6816.844,5438.678,1282.236,588.201,,1185.457,,4398.595,2163.754,69.07,183.014,15.09,239.509,3614.19081,1125.0,1,511110,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0,0.23576244079903244,0.08628641054423425,,3.484312288372662,8.601291295611247,0.0
6003,INTEGRATED DEVICE TECH INC,458118106,2010,334413,3674.0,2.053,727.46,625.705,96.824,72.627,177.546,275.332,,128.678,598.782,12.51,299.192,7.375,148.352,1094.096,2269.0,1,334413,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0,0,0,0.1547438489383975,0.09983641712259092,0.2837535260226464,0.7193021380367964,6.4388790140224135,0.0
6109,INTL RECTIFIER CORP,460254105,2010,334413,3674.0,4.534,1440.917,895.297,86.283,80.827,99.31,278.0,,249.472,1191.445,58.071,541.086,18.61,70.324,1308.72964,2064.0,1,334413,1,INTERNATIONAL RECTIFIER CORP,5.0,1.0,10.0,0.0,16.0,15.0,1.0,0.9375,INTERNATIONAL RECTIFIER CORP,1,1,0,0,0.09637360563031039,0.056094140051092464,0.11092408440997792,1.5116045520853372,6.797155506802373,0.0033083370092633437
